 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,500-1-fb-1.png:0257-0228,1.015E5,1.147E2,9.628E0,1.150E2,7.600E1,1.540E2,4.959E2,5.618E2,4.978E2,5.608E2,1.442E3,2.688E2,7.347E2,4.861E2,3.315E2,4.318E2,2.992E2,1.765E2,6.132E-1,4.890E2,1.164E7,1.150E2,-1.057E-1,2.352E0,0.000E0,2.319E6,1.000E0,1.200E2,2.860E2,6.311E0,3.315E2,1.443E0,6.930E-1,8.922E-1
2,500-1-fb-2.png:0253-0269,9.038E4,1.162E2,9.408E0,1.180E2,8.500E1,1.530E2,5.963E2,5.949E2,5.974E2,5.954E2,1.244E3,4.323E2,7.549E2,3.427E2,3.562E2,3.700E2,3.110E2,5.830E1,7.342E-1,3.934E2,1.051E7,1.160E2,1.293E-1,2.863E-2,0.000E0,2.094E6,1.000E0,2.130E2,3.070E2,4.177E1,3.226E2,1.190E0,8.406E-1,9.352E-1
3,500-1-fb-3.png:0274-0248,4.293E4,1.233E2,1.110E1,1.240E2,6.900E1,1.550E2,5.616E2,5.343E2,5.611E2,5.354E2,8.339E2,4.390E2,6.496E2,2.352E2,2.397E2,2.553E2,2.141E2,5.041E1,7.759E-1,2.810E2,5.292E6,1.240E2,-3.668E-1,3.643E-1,0.000E0,1.055E6,1.000E0,1.970E2,3.000E2,3.559E1,2.210E2,1.192E0,8.387E-1,9.364E-1
4,500-1-fb-4.png:0209-0255,6.612E4,1.213E2,1.114E1,1.190E2,8.300E1,1.570E2,5.832E2,6.679E2,5.831E2,6.680E2,1.078E3,4.010E2,8.266E2,3.405E2,3.002E2,3.408E2,2.470E2,3.473E1,7.151E-1,3.739E2,8.019E6,1.210E2,-4.767E-3,-1.002E-1,0.000E0,1.598E6,1.000E0,1.790E2,2.420E2,2.442E1,2.647E2,1.380E0,7.247E-1,9.304E-1
5,500-1-fb-5.png:0251-0260,1.065E5,1.483E2,1.692E1,1.450E2,7.300E1,2.140E2,5.791E2,6.002E2,5.784E2,5.994E2,1.414E3,3.898E2,8.019E2,3.875E2,4.413E2,4.101E2,3.306E2,9.186E1,6.697E-1,4.490E2,1.579E7,1.480E2,-1.982E-1,2.079E0,0.000E0,3.147E6,1.000E0,2.500E2,1.530E2,1.021E2,3.621E2,1.240E0,8.062E-1,8.983E-1
6,500-1-fb-6.png:0240-0250,7.648E4,1.520E2,1.984E1,1.430E2,9.200E1,2.300E2,5.561E2,6.263E2,5.537E2,6.295E2,1.141E3,4.054E2,7.795E2,3.091E2,3.450E2,3.311E2,2.941E2,9.100E1,7.382E-1,3.611E2,1.162E7,1.500E2,2.372E-1,1.209E0,0.000E0,2.316E6,1.000E0,1.960E2,1.650E2,1.115E2,2.936E2,1.126E0,8.883E-1,9.382E-1
7,500-1-fb-7.png:0241-0254,9.965E4,1.515E2,1.594E1,1.530E2,9.700E1,2.190E2,5.514E2,6.226E2,5.499E2,6.222E2,1.446E3,4.211E2,8.534E2,2.957E2,4.995E2,4.863E2,2.609E2,8.210E1,5.992E-1,5.060E2,1.510E7,1.510E2,1.532E-1,2.123E0,0.000E0,3.009E6,1.000E0,2.270E2,3.530E2,8.083E1,2.887E2,1.864E0,5.365E-1,9.138E-1
8,500-1-fb-9.png:0255-0348,7.033E4,1.548E2,1.527E1,1.500E2,1.040E2,2.240E2,7.654E2,5.653E2,7.670E2,5.632E2,1.120E3,6.317E2,7.347E2,2.957E2,3.248E2,3.308E2,2.707E2,9.466E1,7.043E-1,3.427E2,1.089E7,1.530E2,3.765E-1,2.326E0,0.000E0,2.170E6,1.000E0,2.980E2,1.960E2,1.382E2,2.928E2,1.222E0,8.183E-1,9.389E-1
9,500-1-fb-10.png:0250-0274,1.139E5,1.468E2,1.483E1,1.440E2,9.300E1,2.080E2,6.022E2,5.942E2,6.029E2,5.955E2,1.525E3,4.502E2,8.176E2,3.293E2,4.659E2,4.839E2,2.997E2,8.317E1,6.156E-1,4.929E2,1.672E7,1.460E2,3.548E-2,2.983E0,0.000E0,3.332E6,1.000E0,2.160E2,3.440E2,6.239E1,3.293E2,1.614E0,6.194E-1,8.983E-1
10,500-1-fb-11.png:0267-0273,7.134E4,1.535E2,1.542E1,1.490E2,1.060E2,2.180E2,6.157E2,5.420E2,6.170E2,5.416E2,1.093E3,4.592E2,7.056E2,3.069E2,3.181E2,3.171E2,2.864E2,3.043E1,7.501E-1,3.557E2,1.095E7,1.520E2,1.609E-1,3.481E0,0.000E0,2.182E6,1.000E0,2.440E2,3.370E2,6.263E1,2.755E2,1.107E0,9.033E-1,9.483E-1
11,500-1-fb-12.png:0244-0310,6.004E4,1.660E2,1.713E1,1.550E2,1.120E2,2.360E2,6.926E2,6.010E2,6.923E2,6.032E2,1.170E3,5.152E2,7.526E2,3.606E2,3.091E2,3.808E2,2.008E2,1.464E2,5.510E-1,3.771E2,9.968E6,1.640E2,4.508E-1,1.509E0,0.000E0,1.987E6,1.000E0,2.350E2,2.060E2,1.562E2,2.154E2,1.896E0,5.273E-1,8.783E-1
12,500-1-fb-13.png:0274-0280,9.818E4,1.580E2,1.560E1,1.560E2,1.010E2,2.140E2,6.285E2,5.470E2,6.294E2,5.501E2,1.325E3,4.189E2,7.056E2,4.189E2,3.494E2,3.946E2,3.168E2,2.608E1,7.028E-1,4.421E2,1.551E7,1.580E2,-4.693E-1,3.757E0,0.000E0,3.092E6,1.000E0,1.880E2,2.890E2,1.954E1,3.420E2,1.246E0,8.027E-1,9.415E-1
13,500-1-fb-14.png:0268-0237,7.640E4,1.594E2,1.507E1,1.570E2,1.130E2,2.310E2,5.259E2,5.326E2,5.270E2,5.317E2,1.214E3,3.270E2,6.966E2,4.099E2,3.046E2,3.873E2,2.512E2,1.588E2,6.517E-1,4.119E2,1.218E7,1.590E2,2.153E-1,1.836E0,0.000E0,2.427E6,1.000E0,1.460E2,2.630E2,1.744E2,2.722E2,1.542E0,6.485E-1,8.952E-1
14,500-1-fb-15.png:0240-0228,1.150E5,1.662E2,1.478E1,1.620E2,1.230E2,2.220E2,5.261E2,6.127E2,5.240E2,6.132E2,1.480E3,2.666E2,7.773E2,4.883E2,3.405E2,4.723E2,3.100E2,1.681E2,6.597E-1,4.936E2,1.912E7,1.650E2,8.651E-2,5.728E0,0.000E0,3.810E6,1.000E0,1.190E2,2.180E2,1.716E2,3.385E2,1.523E0,6.564E-1,9.145E-1
15,500-1-fb-16.png:0260-0248,9.375E4,1.588E2,1.457E1,1.580E2,1.110E2,2.170E2,5.638E2,5.773E2,5.640E2,5.793E2,1.302E3,3.763E2,7.549E2,3.584E2,3.853E2,3.793E2,3.147E2,5.690E1,6.953E-1,4.208E2,1.489E7,1.580E2,9.943E-2,3.065E0,0.000E0,2.968E6,1.000E0,2.360E2,3.450E2,6.275E1,3.187E2,1.205E0,8.299E-1,9.257E-1
16,500-1-fb-17.png:0280-0308,1.112E5,1.557E2,1.550E1,1.490E2,1.040E2,2.160E2,6.950E2,5.287E2,6.952E2,5.301E2,1.379E3,5.197E2,7.392E2,3.405E2,4.458E2,4.627E2,3.060E2,1.046E2,7.344E-1,4.852E2,1.732E7,1.550E2,-1.486E-2,2.988E0,0.000E0,3.451E6,1.000E0,2.440E2,1.870E2,1.187E2,3.224E2,1.512E0,6.614E-1,9.392E-1
17,500-1-fb-18.png:0266-0219,1.123E5,1.550E2,1.533E1,1.500E2,1.070E2,2.150E2,4.860E2,5.553E2,4.859E2,5.539E2,1.600E3,2.330E2,7.482E2,5.152E2,4.010E2,4.508E2,3.171E2,1.744E2,5.509E-1,5.159E2,1.741E7,1.540E2,1.868E-1,2.438E0,0.000E0,3.469E6,1.000E0,1.040E2,2.690E2,1.770E2,3.794E2,1.421E0,7.035E-1,8.322E-1
